datetime,open,high,low,close,volume
2026-06-24,1.37,1.40,1.21,1.22,208300
2026-06-25,1.22,1.26,0.86,0.89,549700
2026-06-26,0.89,0.98,0.83,0.87,276100
2026-06-29,0.90,0.90,0.78,0.85,217500
2026-06-30,0.85,0.94,0.81,0.82,299700
2026-07-01,0.74,0.80,0.65,0.76,454200
2026-07-02,0.75,0.84,0.71,0.71,111400
2026-07-06,0.67,0.80,0.64,0.79,421400
2026-07-07,0.79,0.80,0.70,0.73,100100
2026-07-08,0.73,0.75,0.68,0.69,214300
2026-07-09,0.68,0.71,0.67,0.70,98400
2026-07-10,0.69,0.72,0.68,0.71,65400
2026-07-13,0.69,0.72,0.67,0.67,110700
2026-07-14,0.69,0.69,0.65,0.69,87900
2026-07-15,0.69,0.72,0.66,0.69,95400
2026-07-16,0.67,0.75,0.67,0.67,69200
2026-07-17,0.67,0.68,0.64,0.65,77400
2026-07-20,0.64,0.64,0.60,0.60,65700
2026-07-21,0.60,0.63,0.59,0.61,108500
2026-07-22,0.61,0.64,0.59,0.59,59300
2026-07-23,0.60,0.63,0.59,0.60,44600
2026-07-24,0.60,0.61,0.58,0.58,64600
2026-07-27,0.59,0.60,0.55,0.56,110200
2026-07-28,0.58,0.59,0.54,0.56,54000
2026-07-29,0.54,0.55,0.53,0.53,18800
2026-07-30,0.53,0.58,0.53,0.57,43000
2026-07-31,0.53,0.75,0.53,0.66,1274100
2026-08-04,3.58,3.75,3.10,3.52,163400
2026-08-05,3.52,3.70,3.21,3.25,154000
2026-08-06,3.23,3.39,3,3.02,76100
2026-08-07,3.02,3.27,3,3.15,72900
2026-08-10,3.13,3.13,3,3.08,15300
2026-08-11,3.11,3.20,3.06,3.18,28700
2026-08-12,3.09,3.09,2.91,3.04,26400
2026-08-13,3.05,3.11,2.92,2.93,19600
2026-08-14,2.93,3.05,2.78,2.83,37700
2026-08-17,2.89,3.06,2.87,2.94,58600
2026-08-18,2.94,2.95,2.76,2.89,33300
2026-08-19,2.89,2.99,2.73,2.78,52200
2026-08-20,2.73,2.87,2.65,2.70,33400
2026-08-21,2.81,2.82,2.69,2.73,37100
2026-08-24,2.79,2.79,2.60,2.64,54100
2026-08-25,2.70,2.76,2.33,2.40,120700
2026-08-26,2.44,2.45,2.22,2.28,28300
2026-08-27,2.24,2.35,2.17,2.17,16549900
2026-08-28,2.92,3.29,2.44,2.49,45124900
2026-08-31,2.29,2.32,1.92,2.06,844100
2026-09-01,1.90,2,1.81,1.84,287800
2026-09-02,1.71,1.89,1.71,1.82,233600
2026-09-03,1.79,2.06,1.67,1.93,683500
2026-09-04,1.79,1.82,1.70,1.82,162400
2026-09-08,1.79,1.86,1.74,1.81,53900
2026-09-09,1.77,1.77,1.69,1.69,88300
2026-09-10,1.67,1.69,1.55,1.56,156900
2026-09-11,1.57,1.60,1.52,1.53,103400
2026-09-14,1.48,1.57,1.45,1.54,56700
2026-09-15,1.46,1.56,1.46,1.47,46500
2026-09-16,1.46,1.5,1.41,1.43,42800
2026-09-17,8.48,9.5,6.01,6.78,92381100
2026-09-18,6.4,6.4,5.83,6.24,22825
