datetime,open,high,low,close,volume
2026-08-04 09:30:00,3.35,3.7499,3.10,3.42,93607
2026-08-04 13:30:00,3.47,3.5999,3.16,3.51,66533
2026-08-05 09:30:00,3.52,3.70,3.24,3.39,136966
2026-08-05 13:30:00,3.2945,3.30,3.21,3.24,13349
2026-08-06 09:30:00,3.23,3.3899,3.14,3.3299,11591
2026-08-06 13:30:00,3.2101,3.32,2.995,3.03,57816
2026-08-07 09:30:00,3.0937,3.27,3,3.1398,55637
2026-08-07 13:30:00,3.115,3.16,3.08,3.1599,16261
2026-08-10 09:30:00,3.13,3.13,3,3.06,7541
2026-08-10 13:30:00,3.05,3.11,3.03,3.11,7742
2026-08-11 09:30:00,3.105,3.20,3.10,3.1999,10203
2026-08-11 13:30:00,3.16,3.2,3.16,3.18,5440
2026-08-12 09:30:00,3.07,3.08,2.91,3.01,22248
2026-08-12 13:30:00,2.99,3.0393,2.97,3.01,3190
2026-08-13 09:30:00,3.02,3.03,2.92,2.97,13659
2026-08-13 13:30:00,2.93,2.97,2.92,2.94,5603
2026-08-14 09:30:00,2.96,3,2.905,2.915,29324
2026-08-14 13:30:00,2.915,2.92,2.79,2.86,7991
2026-08-17 09:30:00,2.89,3.06,2.89,3,29907
2026-08-17 13:30:00,3.02,3.02,2.87,2.97,29470
2026-08-18 09:30:00,2.8717,2.9499,2.77,2.85,34896
2026-08-18 13:30:00,2.83,2.91,2.81,2.89,1279
2026-08-19 09:30:00,2.89,2.99,2.83,2.93,32172
2026-08-19 13:30:00,2.93,2.93,2.7401,2.77,16842
2026-08-20 09:30:00,2.73,2.8714,2.65,2.71,27430
2026-08-20 13:30:00,2.75,2.7885,2.70,2.72,5530
2026-08-21 09:30:00,2.81,2.82,2.70,2.785,18512
2026-08-21 13:30:00,2.785,2.785,2.70,2.745,19885
2026-08-24 09:30:00,2.79,2.79,2.61,2.6807,39290
2026-08-24 13:30:00,2.664,2.68,2.64,2.67,14269
2026-08-25 09:30:00,2.70,2.76,2.54,2.59,47077
2026-08-25 13:30:00,2.60,2.64,2.33,2.40,72913
2026-08-26 09:30:00,2.445,2.445,2.22,2.2201,22122
2026-08-26 13:30:00,2.24,2.3,2.2201,2.26,7154
2026-08-27 09:30:00,2.30,2.335,2.20,2.24,29908
2026-08-27 13:30:00,2.29,2.315,2.18,2.182,9609
2026-08-28 09:30:00,2.90,3.29,2.56,2.725,42252732
2026-08-28 13:30:00,2.7201,2.78,2.44,2.4701,2199153
2026-08-31 09:30:00,2.29,2.32,1.92,2.0601,730207
2026-08-31 13:30:00,2.06,2.13,2.021,2.03,106587
2026-09-01 09:30:00,1.93,1.99,1.81,1.89,231082
2026-09-01 13:30:00,1.90,1.92,1.83,1.83,43664
2026-09-02 09:30:00,1.72,1.8299,1.71,1.80,154783
2026-09-02 13:30:00,1.79,1.8881,1.77,1.832,81899
2026-09-03 09:30:00,1.79,1.83,1.67,1.71,101930
2026-09-03 13:30:00,1.7177,2.06,1.70,1.9599,404189
2026-09-04 09:30:00,1.79,1.81,1.70,1.78,121291
2026-09-04 13:30:00,1.79,1.82,1.755,1.81,35249
2026-09-08 09:30:00,1.77,1.8641,1.74,1.84,41647
2026-09-08 13:30:00,1.82,1.84,1.80,1.83,12639
2026-09-09 09:30:00,1.77,1.77,1.69,1.71,70163
2026-09-09 13:30:00,1.7,1.7161,1.69,1.69,14919
2026-09-10 09:30:00,1.67,1.69,1.56,1.57,121183
2026-09-10 13:30:00,1.60,1.60,1.56,1.56,43673
2026-09-11 09:30:00,1.57,1.59,1.52,1.56,90031
2026-09-11 13:30:00,1.5601,1.57,1.53,1.53,14630
2026-09-14 09:30:00,1.48,1.557,1.45,1.557,43840
2026-09-14 13:30:00,1.55,1.5675,1.54,1.55,8193
2026-09-15 09:30:00,1.46,1.56,1.46,1.52,26886
2026-09-15 13:30:00,1.51,1.52,1.47,1.4757,8702
2026-09-16 09:30:00,1.46,1.49,1.46,1.48,18317
2026-09-16 13:30:00,1.4744,1.475,1.41,1.43,22200
2026-09-17 09:30:00,8.8899,9.5,6.0501,6.6307,86157819
2026-09-17 13:30:00,6.64,6.85,6.01,6.75,5214112
2026-09-18 09:30:00,6.4,6.4,5.83,6.24,22825
